"waterbody_segment","pollutant_name","pollutant_group","test_fraction","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance"
"FENWICK BRANCH","BENZO_A_PYRENE","PAH3",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","CHRYSENE","PAH2",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","DIELDRIN","DIELDRIN",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"FENWICK BRANCH","FLUORANTHENE","PAH2",NA,2,2013,1,"2007",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","FLUORENE","PAH1",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","NAPHTHALENE","PAH1",NA,2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FENWICK BRANCH","PCB_TOTAL","PCB_TOTAL",NA,1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",NA,NA,0
"FENWICK BRANCH","PYRENE","PAH2",NA,2,2013,1,"2007",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","4_4_DDE","DDE",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","4_4_DDT","DDT",NA,13,2021,1,"2020",13,1,0,1,2020-09-10,"2020",NA,"Never",2020-09-10,"2020",9,NA,9
"FORT DUPONT TRIBUTARY","ACENAPHTHENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","ANTHRACENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","CHRYSENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","DIELDRIN","DIELDRIN",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","FLUORANTHENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","FLUORENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,13,2021,1,"2021",13,0,0,1,NA,"Never",NA,"Never",2021-01-13,"2021",NA,NA,5
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","NAPHTHALENE","PAH1",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT DUPONT TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,5,2021,5,"2021",5,0,0,5,NA,"Never",NA,"Never",2021-06-17,"2021",NA,NA,0
"FORT DUPONT TRIBUTARY","PYRENE","PAH2",NA,13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"FORT STANTON TRIBUTARY","4_4_DDD","DDD",NA,17,2021,1,"2020",16,1,0,1,2020-07-09,"2020",NA,"Never",2020-07-09,"2020",11,NA,11
"FORT STANTON TRIBUTARY","4_4_DDE","DDE",NA,17,2021,1,"2020",16,0,0,1,NA,"Never",NA,"Never",2020-12-08,"2020",NA,NA,6
"FORT STANTON TRIBUTARY","4_4_DDT","DDT",NA,17,2021,0,"Never",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
