"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"OXON RUN","ZINC","TOTAL","","","21","0","2013","14","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","ZINC","TOTAL","","","10","0","2002","1","2001","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","ZINC","TOTAL","","","11","0","2013","2","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","ZINC","TOTAL","","","8","1","2017","3","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","ZINC","TOTAL","","","10","0","2002","6","2002","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","ZINC","TOTAL","","","108","13","2021","33","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","ZINC","TOTAL","","","53","13","2021","15","2020","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","ZINC","TOTAL","","","30","13","2021","11","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","ZINC","TOTAL","","","43","13","2021","22","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","ZINC","TOTAL","","","32","0","2002","9","2000","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","ZINC","TOTAL","","","10","0","2002","1","2001","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","ZINC","TOTAL","","","27","3","2019","26","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TIDAL BASIN","ZINC","TOTAL","","","33","0","2002","13","2000","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","ZINC","TOTAL","","","42","12","2016","19","2016","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","ZINC","TOTAL","","","26","3","2017","17","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","ZINC","TOTAL","","","63","13","2021","46","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","ZINC","TOTAL","","","27","0","2013","9","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","ZINC","TOTAL","","","46","0","2002","13","1995","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","ZINC","TOTAL","","","27","3","2019","20","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","ZINC","TOTAL","","","30","3","2019","27","2019","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","ZINC","TOTAL","","","10","0","2013","10","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","LEAD","TOTAL","","","49","37","2021","49","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA UPPER","LEAD","TOTAL","","","37","18","2016","37","2016","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BROAD BRANCH","LEAD","TOTAL","","","13","13","2021","7","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DALECARLIA TRIBUTARY","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","LEAD","TOTAL","","","13","13","2021","10","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FENWICK BRANCH","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","LEAD","TOTAL","","","16","13","2021","16","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT STANTON TRIBUTARY","LEAD","TOTAL","","","17","13","2021","13","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"HICKEY RUN","LEAD","TOTAL","","","1","1","2017","1","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","LEAD","TOTAL","","","22","12","2016","22","2016","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"KLINGLE VALLEY","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","LEAD","TOTAL","","","13","13","2021","10","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NASH RUN","LEAD","TOTAL","","","4","0","2014","4","2014","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"NORMANSTONE CREEK","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","LEAD","TOTAL","","","1","0","2013","1","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","LEAD","TOTAL","","","1","0","2013","1","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","LEAD","TOTAL","","","1","1","2017","1","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","LEAD","TOTAL","","","13","13","2021","13","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC MIDDLE","LEAD","TOTAL","","","13","13","2021","11","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC UPPER","LEAD","TOTAL","","","13","13","2021","11","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK LOWER","LEAD","TOTAL","","","13","13","2021","12","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ROCK CREEK UPPER","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"SOAPSTONE CREEK","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TEXAS AVENUE TRIBUTARY","LEAD","TOTAL","","","3","0","2014","3","2014","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"TIDAL BASIN","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WASHINGTON SHIP CHANNEL","LEAD","TOTAL","","","16","12","2016","16","2016","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH LOWER","LEAD","TOTAL","","","3","3","2017","3","2017","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"WATTS BRANCH UPPER","LEAD","TOTAL","","","13","13","2021","13","2021","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"BATTERY KEMBLE CREEK","LEAD","TOTAL","","","1","0","2013","1","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"C&O CANAL","LEAD","TOTAL","","","0","0","Never","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT CHAPLIN TRIBUTARY","LEAD","TOTAL","","","3","0","2014","3","2014","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DAVIS TRIBUTARY","LEAD","TOTAL","","","3","0","2014","3","2014","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FOUNDRY BRANCH","LEAD","TOTAL","","","2","0","2013","2","2013","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL",NA,"","","52","40","2021","1","2014","1 (D)","2014 (D)","48 (D)","No (D)","Never (D)"
