"site_summary_segment","group_lower","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"Broad Branch","dieldrin","","",14,13,2021,7,"2021",7,2021,2,"Yes","2018 - 2021"
"C&O Canal","dieldrin","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalecarlia Tributary","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Dumbarton Oaks Tributary","dieldrin","","",14,13,2021,11,"2021",11,2021,2,"Yes","2018 - 2021"
"Fenwick Branch","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Fort Chaplin Tributary","dieldrin","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Davis Tributary","dieldrin","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Dupont Tributary","dieldrin","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Fort Stanton Tributary","dieldrin","","",16,13,2021,0,"never",0,NA,NA,NA,NA
"Foundry Branch","dieldrin","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hickey Run","dieldrin","","",5,2,2019,0,"never",0,NA,NA,NA,NA
"Kingman Lake","dieldrin","","",24,15,2019,1,"2016",1,2016,11,NA,NA
"Klingle Valley Branch","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Lower Beaverdam Creek","dieldrin","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzon Branch","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Mataponi Creek","dieldrin","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","dieldrin","","",14,13,2021,7,"2021",7,2021,2,"Yes","2018 - 2021"
"Nash Run","dieldrin","","",6,3,2019,1,"2014",1,2014,3,NA,NA
"Normanstone Creek","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Oxon Run","dieldrin","","",14,13,2021,10,"2021",10,2021,2,"Yes","2018 - 2021"
"Patuxent River","dieldrin","","",13,13,2021,1,"2021",0,NA,NA,NA,NA
"Pinehurst Branch","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Piney Branch","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Pope Branch","dieldrin","","",6,3,2019,1,"2018",1,2018,1,NA,NA
"Portal Branch","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Potomac Lower","dieldrin","","",13,13,2021,1,"2020",1,2020,9,NA,NA
"Potomac Middle","dieldrin","","",13,13,2021,2,"2020",2,2020,9,"Yes","2018 - 2021"
"Potomac Upper","dieldrin","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Rock Creek Lower","dieldrin","","",13,13,2021,5,"2021",5,2021,3,"Yes","2018 - 2021"
"Rock Creek Upper","dieldrin","","",38,21,2021,6,"2021",6,2021,4,"Yes","2018 - 2021"
"Soapstone Creek","dieldrin","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Texas Avenue Tributary","dieldrin","","",6,3,2019,5,"2018",5,2018,1,"Yes","2018 - 2021"
"Tidal Basin","dieldrin","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","dieldrin","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"Watts Banch","dieldrin","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watts Branch","dieldrin","","",6,3,2019,3,"2018",3,2018,1,NA,NA
"Watts Branch - Upper","dieldrin","","",13,13,2021,3,"2021",0,NA,NA,NA,NA
"Anacostia Lower","heptachlor epoxide","","",59,43,2021,1,"2020",1,2020,9,NA,NA
"Anacostia Upper","heptachlor epoxide","","",116,97,2021,17,"2021",17,2021,2,"Yes","2018 - 2021"
"Battery Kemble Creek","heptachlor epoxide","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Branch","heptachlor epoxide","","",14,13,2021,8,"2021",8,2021,2,"Yes","2018 - 2021"
"C&O Canal","heptachlor epoxide","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalecarlia Tributary","heptachlor epoxide","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"Dumbarton Oaks Tributary","heptachlor epoxide","","",14,13,2021,10,"2021",10,2021,2,"Yes","2018 - 2021"
