"waterbody_segment","pollutant_group","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"POPE BRANCH","DIELDRIN","","",7,4,2019,2,"2018",2,2018,1,"Yes","2018 - 2021"
"PORTAL BRANCH","DIELDRIN","","",2,NA,2013,2,"2013",2,2013,0,"Yes","2013 - 2016"
"POTOMAC LOWER","DIELDRIN","","",13,13,2021,1,"2020",1,2020,9,NA,NA
"POTOMAC MIDDLE","DIELDRIN","","",13,13,2021,2,"2020",2,2020,9,"Yes","2018 - 2021"
"POTOMAC UPPER","DIELDRIN","","",13,13,2021,1,"2021",1,2021,0,NA,NA
"ROCK CREEK LOWER","DIELDRIN","","",14,13,2021,5,"2021",5,2021,3,"Yes","2018 - 2021"
"ROCK CREEK UPPER","DIELDRIN","","",19,NA,2000,0,"never",0,NA,NA,NA,NA
"SOAPSTONE CREEK","DIELDRIN","","",1,NA,2013,1,"2013",1,2013,0,NA,NA
"TEXAS AVENUE TRIBUTARY","DIELDRIN","","",6,3,2019,5,"2018",5,2018,1,"Yes","2018 - 2021"
"TIDAL BASIN","DIELDRIN","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","DIELDRIN","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","DIELDRIN","","",7,4,2019,4,"2019",4,2019,0,"Yes","2018 - 2021"
